title,url,published,description
"Class 2 Medicines Recall: Crescent Pharma Limited, Ramipril 5mg capsules, EL(26)A/11",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-crescent-pharma-limited-ramipril-5mg-capsules-el-26-a-slash-11,2026-03-06,Crescent Pharma Limited is recalling one batch of Ramipril 5 mg Capsules as a precautionary measure due to a potential error at the manufacturing site. 
Blood regulation and safety,https://www.gov.uk/government/collections/blood-regulation-and-safety,2023-06-27,Information about ensuring blood and blood component safety.
Blood: authorisations and safety reporting,https://www.gov.uk/guidance/blood-authorisations-and-safety-reporting,2026-02-13,Information about ensuring blood and blood component safety.
Valproate – reproductive risks,https://www.gov.uk/guidance/valproate-reproductive-risks,2025-09-23,Information about the reproductive risks of taking valproate medicines and the measures in place to reduce potential harm.
Safety Public Assessment Reports,https://www.gov.uk/guidance/safety-public-assessment-reports,2026-01-26,These reports explain our assessment of the scientific evidence used to lead to regulatory decisions on the safety of medicines or medicines classes.
Established medicines: marketing authorisation application changes,https://www.gov.uk/guidance/established-medicines-marketing-authorisation-application-process-changes,2025-04-01,"Details of the process changes for established medicines, effective from 1 March 2024, which apply specifically to chemical products."
Clinical trials for medicines: apply for authorisation in the UK,https://www.gov.uk/guidance/clinical-trials-for-medicines-apply-for-authorisation-in-the-uk,2026-02-18,"How to apply for a clinical trial including eligibility, phases, model IMPDs, costs and how to make changes to your application. "
Export drugs and medicines: special rules,https://www.gov.uk/guidance/export-drugs-and-medicines-special-rules,2025-04-01,You must get permission to export certain drugs and medicines.
Guidance for licensing electronic cigarettes and other inhaled nicotine-containing products as medicines,https://www.gov.uk/guidance/licensing-procedure-for-electronic-cigarettes-as-medicines,2022-11-03,Guidance on how to license electronic cigarettes and other inhaled nicotine-containing products (NCPs) as medicines in the UK. 
Unfettered access procedure for marketing authorisations approved in Northern Ireland,https://www.gov.uk/guidance/unfettered-access-procedure-for-marketing-authorisations-approved-in-northern-ireland,2024-12-20,Guidance for holders of marketing authorisations (MAs) approved in Northern Ireland (NI)  who want to bring a product to market in Great Britain (GB).
Regulation of medical devices in Northern Ireland,https://www.gov.uk/guidance/medical-devices-eu-regulations-for-mdr-and-ivdr,2026-02-20,Information about how the MHRA regulates medical devices in Northern Ireland and what legislation applies to manufacturers and suppliers.
Exceptional Use Authorisation,https://www.gov.uk/guidance/exceptional-use-authorisation,2025-03-30,How to apply for an exceptional use authorisation to place medical devices on the UK market.
National assessment procedure for medicines,https://www.gov.uk/guidance/national-assessment-procedure-for-medicines,2026-02-24,Guidance on the MHRA’s national assessment procedure for marketing authorisation applications.
Pharmacovigilance requirements: qualified person for PV and PSMF,https://www.gov.uk/guidance/guidance-on-qualified-person-responsible-for-pharmacovigilance-qppv-including-pharmacovigilance-system-master-files-psmf,2025-01-08,"Guide for marketing authorisation holders, including qualified person responsible for pharmacovigilance (PV) and pharmacovigilance system master files (PSMF).
"
Guidance on minimising disruptions to the conduct and integrity of clinical trials of medicines during COVID-19,https://www.gov.uk/guidance/guidance-on-minimising-disruptions-to-the-conduct-and-integrity-of-clinical-trials-of-medicines-during-covid-19,2020-11-13,Actions that trial sponsors should consider to build resilience into clinical trial design
Guidance on handling of Decentralised and Mutual Recognition Procedures which are approved or pending,https://www.gov.uk/guidance/guidance-on-handling-of-decentralised-and-mutual-recognition-procedures-which-are-approved-or-pending,2022-06-24,The approach the MHRA intends to take for products approved or pending in decentralised procedure (DCP) or mutual recognition procedures (MRP).
"Clinical trials for medicines: collection, verification and reporting of safety events",https://www.gov.uk/guidance/clinical-trials-for-medicines-collection-verification-reporting-of-safety-events,2026-01-12,"Guidance on the collection, verification, and reporting of safety events in clinical trials of an investigational medicinal product."
"Class 3 Medicines Recall: Bayer Plc, Various Products, EL(26)A/12",https://www.gov.uk/drug-device-alerts/class-3-medicines-recall-bayer-plc-various-products-el-26-a-slash-12,2026-03-12,Bayer Plc is recalling all stock of the products listed in this notification as a precautionary measure due to the identification of an impurity above the acceptable limit. The recall is at pharmacy and wholesaler level.
Public advised to stop using some non-sterile alcohol-free wipes,https://www.gov.uk/government/news/public-advised-to-stop-using-certain-non-sterile-alcohol-free-wipes,2026-02-05,UKHSA and MHRA are urging the public not to use 4 specified non-sterile alcohol-free wipe products due to the risk of infection associated with their use.
Medical devices: information for patients,https://www.gov.uk/guidance/medical-devices-information-for-users-and-patients,2025-04-02,Information about medical devices that the public can buy for personal use and how we make sure they are safe and effective.
Class 4 Caution in Use: EcoLab Klerpack BD Syringe Multi-Pack,https://www.gov.uk/drug-device-alerts/class-4-caution-in-use-ecolab-klerpack-bd-syringe-multi-pack,2016-09-16,Ecolab are recalling batches of Klerpack BD Syringe Multi-Pack as the sterile packaging may contain small holes in the film of the pouch. (EL (16)A/13)
Guidance on Class I medical devices,https://www.gov.uk/government/collections/guidance-on-class-1-medical-devices,2023-06-30,Advice for manufacturers of Class I medical devices for placing products on the UK market
"Class 2 Medicines Recall: Rokshaw Limited Trading as Curaleaf Laboratories, Curaleaf Oil [FS] 10mg/ml THC, 10mg/ml CBD (30ml), EL(26)A/13",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-rokshaw-limited-trading-as-curaleaf-laboratories-curaleaf-oil-fs-10mg-slash-ml-thc-10mg-slash-ml-cbd-30ml-el-26-a-slash-13,2026-03-12,"Curaleaf Laboratories are recalling three batches of Curaleaf Oil [FS] 10mg/ml THC 10mg/ml CBD (30ml) due to low THC content.
"
UK medicines export and Windsor Framework labelling requirements,https://www.gov.uk/government/publications/uk-medicines-export-and-labelling-for-international-regulators,2024-12-30,Supplementary information for international regulators on packaging changes and the export of UK medicines.
The Windsor Framework - further detail and publications,https://www.gov.uk/government/collections/the-windsor-framework-further-detail-and-publications,2023-09-29,Further detail on the arrangements giving effect to the Windsor Framework.
Falsified Mounjaro KwikPen 15mg pre-filled pens ,https://www.gov.uk/drug-safety-update/falsified-mounjaro-kwikpen-15mg-pre-filled-pens,2026-02-24,"A falsified version of Mounjaro (tirzepatide) KwikPen 15mg solution for injection has been found supplied through one online pharmacy in the UK. The falsified product is labelled with batch D873576 and applies to Mounjaro KwikPen 15mg solution for injection in pre-filled pen only. 

"
Man jailed for ten years for convictions including selling prescription-only medicines worth more than £3.7million,https://www.gov.uk/government/news/man-jailed-for-ten-years-for-convictions-including-selling-prescription-only-medicines-worth-more-than-37-million,2026-03-03,A man who unlawfully supplied Class B and Class C controlled drugs and a range of unauthorised medicines has been sentenced at Stoke-on-Trent Crown Court following an investigation by the MHRA’s Criminal Enforcement Unit. 
Freedom of Information responses from the MHRA - week commencing 30 May 2022,https://www.gov.uk/government/publications/freedom-of-information-responses-from-the-mhra-week-commencing-30-may-2022,2023-03-22,The Medicines and Healthcare products Regulatory Agency (MHRA) responses to freedom of information (FOI) requests for week commencing 30 May 2022
Supply unlicensed medicinal products (specials),https://www.gov.uk/government/publications/supply-unlicensed-medicinal-products-specials,2025-01-29,"Guidance on manufacturing, importing, distributing and supplying specially manufactured or ordered products, including cannabis-based products for medicinal use in humans (CBPMs), known as 'specials'"
"Joint Statement from the UK Space Agency, the Medicines and Healthcare products Regulatory Agency, the Regulatory Innovation Office and the Civil Aviation Authority",https://www.gov.uk/government/news/joint-statement-from-the-uk-space-agency-the-medicines-and-healthcare-products-regulatory-agency-the-regulatory-innovation-office-and-the-civil-avia,2026-03-05,"UK Space Agency, MHRA, RIO and CAA set out support for in-orbit manufacturing of pharmaceuticals"
Parents and caregivers advised to stop all use of specific brand of kids’ magnesium gummies due to the presence of an undeclared prescription-only medicine,https://www.gov.uk/government/news/parents-and-caregivers-advised-to-stop-all-use-of-specific-brand-of-kids-magnesium-gummies-due-to-the-presence-of-an-undeclared-prescription-only-med,2025-08-18,Parents and caregivers who have purchased Nutrition Ignition Kids Magnesium Glycinate Gummies should stop giving them to children and safely dispose of any remaining product. It is recommended that advice be sought from a healthcare professional if a child has any side effects that are of concern.
